"weekend","hour","mean_steps"
FALSE,0,32.7826086956522
FALSE,1,18.6652173913043
FALSE,2,12.031884057971
FALSE,3,6.17536231884058
FALSE,4,14.4092888243832
FALSE,5,54.5747460087083
FALSE,6,219.539244186047
FALSE,7,349.232558139535
FALSE,8,449.421511627907
FALSE,9,423.584302325581
FALSE,10,461.391557496361
FALSE,11,431.020437956204
FALSE,12,543.729411764706
FALSE,13,501.60088365243
FALSE,14,505.680412371134
FALSE,15,367.39970282318
FALSE,16,519.070570570571
FALSE,17,567.711278195489
FALSE,18,640.297744360902
FALSE,19,602.440601503759
FALSE,20,363.177443609023
FALSE,21,309.025602409639
FALSE,22,238.316742081448
FALSE,23,123.250755287009
TRUE,0,68.7868852459016
TRUE,1,35.7037037037037
TRUE,2,31.5308641975309
TRUE,3,7.13991769547325
TRUE,4,7.85185185185185
TRUE,5,13.5144032921811
TRUE,6,62.3374485596708
TRUE,7,183.786008230453
TRUE,8,365.604938271605
TRUE,9,460.814814814815
TRUE,10,539.219008264463
TRUE,11,530.103305785124
TRUE,12,562.446280991736
TRUE,13,638.979338842975
TRUE,14,638.247933884297
TRUE,15,514.553719008264
TRUE,16,435.427385892116
TRUE,17,502.004149377593
TRUE,18,485.684647302905
TRUE,19,530.825726141079
TRUE,20,328.319502074689
TRUE,21,305.692946058091
TRUE,22,237.082987551867
TRUE,23,119.0622406639
