"day_of_week","mean_steps","days"
"Monday",8488.21818181818,110
"Tuesday",8949.28260869565,138
"Wednesday",8157.59712230216,139
"Thursday",8185.3984962406,133
"Friday",7820.64166666667,120
"Saturday",8946.62831858407,113
"Sunday",7626.55454545455,110
